payment_id,order_id,matched_order_id,match_type,is_duplicate_payment_id,second_best_id_similarity,id_similarity_margin,low_similarity_margin,amount_diff,amount_diff_pct,date_diff_days,id_similarity,fee_in_range,competing_candidates_count,closest_competing_amount_diff_pct,settlement_amount,ledger_amount,category,batch_source
pay_13ADDF3125AF4F,order_8C8D7420898646,order_8C8D7420898646,exact,0,0.0,1.0,0,0.0,0.0,2.08,1.0,1,4,0.0086,350.54,350.54,EXACT_MATCH,batch_clean
pay_EFE943DFA1E847,order_813E0AB37DF845,order_813E0AB37DF845,exact,0,0.0,1.0,0,0.0,0.0,2.12,1.0,1,2,0.0071,12002.64,12002.64,EXACT_MATCH,batch_clean
pay_5097F681B2574F,order_6657A11F753D4A,order_6657A11F753D4A,exact,0,0.0,1.0,0,0.0,0.0,2.5,1.0,1,3,0.0037,346.18,346.18,EXACT_MATCH,batch_clean
pay_465C115DCFBB44,order_E40B6CE2161947,order_E40B6CE2161947,exact,0,0.0,1.0,0,0.0,0.0,2.21,1.0,1,6,0.0028,1288.1,1288.1,EXACT_MATCH,batch_clean
pay_1BFB9C1175CE40,order_9181A06C4CEF4D,order_9181A06C4CEF4D,exact,0,0.0,1.0,0,0.0,0.0,2.17,1.0,1,6,0.0019,2684.17,2684.17,EXACT_MATCH,batch_clean
pay_7BDF8F170EA844,order_A5553A91477849,order_A5553A91477849,exact,0,0.0,1.0,0,89.41,0.0351,2.12,1.0,1,8,0.0044,2636.15,2546.74,AMOUNT_MISMATCH,batch_clean
pay_5C1EF274E24F4C,order_1F433E3747AB41,order_1F433E3747AB41,exact,0,0.0,1.0,0,0.0,0.0,2.12,1.0,1,3,0.0015,16810.38,16810.38,EXACT_MATCH,batch_clean
pay_FA0B9AA0F1F74F,order_007FF8AD183D48,order_007FF8AD183D48,exact,0,0.0,1.0,0,0.0,0.0,2.17,1.0,1,3,0.0079,736.61,736.61,EXACT_MATCH,batch_clean
pay_CD942C5F76A24F,order_2A25B749EB2F44,order_2A25B749EB2F44,exact,0,0.0,1.0,0,0.0,0.0,2.0,1.0,1,18,0.0006,2937.22,2937.22,EXACT_MATCH,batch_clean
pay_F66E72DD97384C,order_29640B6BAC4B4A,order_29640B6BAC4B4A,exact,0,0.0,1.0,0,0.0,0.0,2.46,1.0,1,8,0.0006,17474.27,17474.27,EXACT_MATCH,batch_clean
