order_id,amount,created_at,customer_id,status
order_59A6B28CE62E47,1039.69,2026-07-04T09:00:00,cust_2e01b85b70,completed
order_6F14EF5575D144,7907.13,2026-07-30T21:00:00,cust_a3e301591b,captured
order_3F3D2AA5EA8942,1037.6,2026-08-15T09:00:00,cust_1f9239b432,completed
order_51050C5BEE9E43,1027.63,2026-07-01T23:00:00,cust_3f6ebb03f0,captured
order_0617800E8CB948,2126.91,2026-07-02T21:00:00,cust_349286e453,captured
order_D3E775816D154A,19215.32,2026-07-15T18:00:00,cust_fc0ecd6de4,completed
order_87706FDD01974D,606.19,2026-07-30T22:00:00,cust_ed0317e81d,completed
order_CD55CAEED36F4B,10612.51,2026-08-03T09:00:00,cust_6f9075bad4,completed
order_B0909494125448,806.55,2026-08-11T22:00:00,cust_e5a2c9cd38,captured
order_B8C8C466BB304B,1125.1,2026-07-28T19:00:00,cust_8ad8424a2d,captured
order_5B3BBF8357F64F,2221.81,2026-07-23T01:00:00,cust_df6b18047a,completed
order_1B4EE4BFB4CE40,1965.45,2026-07-03T16:00:00,cust_b6b027d43d,completed
order_DE5F6063A0D844,1516.0,2026-08-14T11:00:00,cust_d60b8f5b07,captured
order_2848CE2150B84C,5857.96,2026-08-12T20:00:00,cust_a649ec7037,completed
order_C142541E068B42,1696.78,2026-07-20T00:00:00,cust_fdfa74a9d2,captured
order_1A75FC55EC1046,17764.73,2026-07-18T04:00:00,cust_844b97bfe2,completed
order_B928F13E9E4241,1272.21,2026-07-27T12:00:00,cust_50be13446f,captured
order_FAE410D601F44E,536.41,2026-07-25T22:00:00,cust_f4630666e8,captured
order_5D25E0B65EE044,1590.05,2026-07-18T21:00:00,cust_1156db5d6b,captured
order_49AA4BC3ACCC47,88475.77,2026-07-09T22:00:00,cust_1c5e98939a,completed
order_5F3447F0259642,2732.18,2026-08-11T22:00:00,cust_bd1357b281,captured
order_07042BA8351043,1226.77,2026-08-02T22:00:00,cust_49ed31debc,captured
order_E40B6CE2161947,1288.1,2026-07-15T17:00:00,cust_e866df368b,captured
order_2256EA3FFBF54A,1928.53,2026-07-25T21:00:00,cust_a7ba33abcf,completed
order_CE44B82934BF4B,834.96,2026-07-20T18:00:00,cust_92b2cffac4,completed
order_265F9EC258274E,836.81,2026-07-05T09:00:00,cust_8a053b801e,completed
order_2E9089EA95CF44,72203.64,2026-07-15T10:00:00,cust_a32b122598,captured
order_F50DBC70515D49,2904.79,2026-08-12T06:00:00,cust_3cd193805c,captured
order_A8E663FCE48E42,2780.64,2026-07-06T01:00:00,cust_48a688dcb6,captured
order_EC9E51CE044A40,1044.36,2026-07-30T03:00:00,cust_4fa89410b5,captured
order_54E053A98DE34B,2125.39,2026-07-02T12:00:00,cust_bab272160b,captured
order_DA6AF38CD8B64B,15973.24,2026-07-11T03:00:00,cust_c44b96de2c,captured
order_321606EC988B47,10045.13,2026-07-14T11:00:00,cust_143838faca,completed
order_E17007FAC1DB47,18787.77,2026-08-03T02:00:00,cust_e3e2634441,completed
order_0AAD1351A2C644,140466.73,2026-08-03T03:00:00,cust_6e1c83cd85,completed
order_263E9B77D2DC48,1367.46,2026-07-07T22:00:00,cust_ae69e72737,captured
order_9181A06C4CEF4D,2684.17,2026-08-07T23:00:00,cust_6a5e033147,captured
order_997B470C037740,1326.44,2026-07-19T07:00:00,cust_ca2b5e2486,captured
order_8467B5F5E2814B,20761.56,2026-07-06T12:00:00,cust_0b3e39e336,captured
order_65310809A02943,1357.48,2026-07-23T22:00:00,cust_01750ee38d,completed
order_6CC63E8F529A4F,2896.25,2026-07-01T02:00:00,cust_842e75b664,completed
order_8A5F76BE91104E,675.63,2026-08-11T22:00:00,cust_e8dc54981d,captured
order_D4288AA693C745,196306.89,2026-08-01T15:00:00,cust_ce33bd6c67,captured
order_C3BA2814788C4C,2050.13,2026-07-05T00:00:00,cust_02bdb43add,captured
order_1BD376FF3D3542,2359.68,2026-07-19T17:00:00,cust_bdab2b48d7,captured
order_53C8ABE181FB46,1099.86,2026-08-05T17:00:00,cust_f89e2b1796,completed
order_C949E5E7B7764A,160607.68,2026-07-10T10:00:00,cust_c08815adc5,captured
order_B8BEA3B3E87541,19858.24,2026-08-06T11:00:00,cust_0f2be6c286,completed
order_E83ED234575249,833.61,2026-08-11T06:00:00,cust_42752ac470,captured
order_7C6F606AAA1945,9141.76,2026-07-28T23:00:00,cust_2fdd5570d2,completed
order_309496E7D2314A,200.1,2026-07-05T18:00:00,cust_a9f5f25267,completed
order_BC29BCF59FF24E,2284.08,2026-07-27T17:00:00,cust_199c0371bb,captured
order_B745E4DB3B6D44,21622.58,2026-07-24T02:00:00,cust_4653ac7626,completed
order_5210831E63C241,4680.13,2026-07-01T04:00:00,cust_56268115a1,completed
order_FD1AA3A091B54A,13950.3,2026-07-12T19:00:00,cust_256c0e44aa,completed
order_3850902220C546,2951.49,2026-08-10T17:00:00,cust_fe415efc69,completed
order_16791E16C84D4A,1858.31,2026-07-21T22:00:00,cust_9240d3bb85,captured
order_DAC39D41D1224B,753.65,2026-07-28T19:00:00,cust_d44b0b5b46,captured
order_3CFA3DC834AB4D,2944.87,2026-07-08T12:00:00,cust_3cf7164072,captured
order_09A8D516AB684D,9742.89,2026-07-17T07:00:00,cust_f91f2ace72,completed
order_F83C0E8FF29646,5720.39,2026-07-06T06:00:00,cust_dc3c38a96f,captured
order_568B7CE6488E40,1317.38,2026-08-11T00:00:00,cust_28923f6bcf,completed
order_FD7CB93C0C2543,2848.9,2026-07-30T17:00:00,cust_e39990690b,completed
order_B95A9C65A3A646,19054.1,2026-08-04T03:00:00,cust_126f408efe,captured
order_792DAE7962FB4C,132.65,2026-08-11T00:00:00,cust_e36a07f6af,captured
order_96F386DCCC1B40,502.01,2026-07-11T07:00:00,cust_90be4fb8f8,completed
order_1B8ED357A95D44,679.9,2026-07-01T23:00:00,cust_db677e12c8,captured
order_ACCA624A313F43,2504.41,2026-07-26T01:00:00,cust_2fe3d33f16,captured
order_B3757E05D8FF46,20370.22,2026-07-25T11:00:00,cust_0f7ecc316f,captured
order_6C2276C8A1B543,6513.39,2026-07-21T18:00:00,cust_3f62bd5a67,captured
order_8CBD4A60091246,133.75,2026-07-14T14:00:00,cust_6cd15ae561,captured
order_23BCBAE7976440,1976.11,2026-08-01T13:00:00,cust_b5d4757443,captured
order_21D500ED89424C,16490.76,2026-08-14T21:00:00,cust_e781fb8f35,captured
order_1607219C198541,666.43,2026-08-13T10:00:00,cust_84855a4212,captured
order_19B96A4533BF4E,1773.53,2026-07-18T20:00:00,cust_925fe9f78f,completed
order_7FCD1448DC2146,19155.03,2026-08-06T04:00:00,cust_ddbeb816a1,captured
order_0B4053BB6EF34F,7220.73,2026-08-13T00:00:00,cust_05e5045be6,captured
order_ADE87654389147,1203.52,2026-07-04T21:00:00,cust_37abd7b3fd,captured
order_EE2D2708936445,1480.07,2026-07-31T23:00:00,cust_98d9b89663,captured
order_7E58D47589D647,249481.36,2026-07-28T22:00:00,cust_aea4f90065,completed
order_28989478A33445,112715.4,2026-07-15T07:00:00,cust_7bcba42443,completed
order_17C50FD9E5CD40,2311.94,2026-08-06T04:00:00,cust_c2cba76016,captured
order_17CA81B20FB346,2075.18,2026-07-20T10:00:00,cust_7e8681eb79,completed
order_7A46FB2D955E4E,12279.96,2026-08-09T18:00:00,cust_2cb769d87c,completed
order_40E466FD594D40,75449.99,2026-07-05T20:00:00,cust_f177eeaa50,completed
order_433143FB28CD46,18656.25,2026-07-20T12:00:00,cust_9a69570fee,captured
order_B40735E39DE644,2190.72,2026-08-11T15:00:00,cust_b2cba2daf5,captured
order_B0FBA57863164E,2896.99,2026-07-09T16:00:00,cust_91db3a2537,captured
order_91E160FDB18A4D,1369.84,2026-07-27T05:00:00,cust_5d0bc62b95,captured
order_2B4B670BF32D44,2107.3,2026-07-16T08:00:00,cust_f560e170be,captured
order_13FB03C1876047,2083.37,2026-07-30T02:00:00,cust_4c2841bf50,captured
order_BCF882C04F2045,221.83,2026-07-29T05:00:00,cust_636c7ea668,completed
order_B5CCFAB6F5CA4D,347.55,2026-07-23T17:00:00,cust_fd8e9aeb97,completed
order_152DBD0347E942,1418.0,2026-07-21T08:00:00,cust_cae6c491f4,completed
order_83D3B048ADA947,911.21,2026-07-09T16:00:00,cust_9ef949c0bf,completed
order_197D6B79AE7C40,1017.54,2026-08-05T20:00:00,cust_87deda4439,completed
order_77E3EB8E5F914C,3543.53,2026-08-03T11:00:00,cust_af43a954cc,captured
order_67DCEE07C07241,2347.66,2026-07-20T02:00:00,cust_6c207ffd74,completed
order_0E4979DE0C8249,4786.9,2026-08-11T18:00:00,cust_d89ea7598b,completed
order_B2A3288F445F4B,12332.61,2026-07-07T06:00:00,cust_9ee5598ff7,completed
order_68AA4F910C5246,2032.36,2026-07-26T15:00:00,cust_db0ab1f4e7,completed
order_0F53A889484A48,1975.79,2026-08-11T04:00:00,cust_384e6c0023,captured
order_0D0734E31EA94F,6602.85,2026-07-20T03:00:00,cust_a0d71aceca,captured
order_093449EFED844A,1818.35,2026-07-25T15:00:00,cust_99c361f39b,completed
order_74A6AB01F2C341,19059.43,2026-07-17T21:00:00,cust_697a3f7bab,completed
order_88B1B942186B4B,113745.31,2026-08-01T10:00:00,cust_09c379d8ca,captured
order_D69FFA7B3D4543,1918.63,2026-07-03T09:00:00,cust_25b378dd6a,completed
order_5462BB58C8CC4C,18408.96,2026-07-04T05:00:00,cust_3bc79032fd,completed
order_FE7ECE1D3CFF4E,13058.31,2026-07-08T22:00:00,cust_31409b1d2b,completed
order_0A8128BF4A4045,590.79,2026-07-25T05:00:00,cust_fb6b6ad99e,captured
order_3FF8212550FB45,5253.4,2026-07-21T11:00:00,cust_244ee83123,completed
order_95FE7E0D5CEB4F,1997.18,2026-08-14T10:00:00,cust_e432641d61,captured
order_DF426D6495CC48,2905.51,2026-07-16T10:00:00,cust_a737417525,captured
order_F0F11364C8B349,18177.09,2026-08-15T09:00:00,cust_e3e146d614,captured
order_F2837BC5304848,2986.49,2026-07-10T20:00:00,cust_a984fc8269,completed
order_C7EB3FB2EF5349,917.69,2026-07-20T10:00:00,cust_0405a20ee6,captured
order_619C46A1A2FF43,982.58,2026-07-08T07:00:00,cust_9e9f72a505,completed
order_364C4BB25F4F4D,14102.01,2026-07-09T15:00:00,cust_a5714799e2,completed
order_7196A8C5BF5844,23544.03,2026-08-01T10:00:00,cust_128ecdfc34,captured
order_E179A677B0814F,706.36,2026-07-04T00:00:00,cust_88be9ee917,completed
order_69A656CDFC774E,2761.26,2026-07-03T07:00:00,cust_a94c1d75ab,completed
order_41DC7E2BE0B144,16874.34,2026-08-04T23:00:00,cust_3df41eb2b9,captured
order_E7C1EE052E2E4D,1508.19,2026-07-28T07:00:00,cust_6ab579d3ff,completed
order_3310A8700A874F,1648.69,2026-07-01T12:00:00,cust_7aa28b574b,captured
order_C82A7B3CCFEC4F,18417.39,2026-07-20T23:00:00,cust_5138203c6c,completed
