entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_13ADDF3125AF4F,payment,0,34227,35054,INR,701,126,0,1,1786503600,1786683600,setl_E57BF288020A41,pay_13ADDF3125AF4F,UTR142177571888,order_8C8D7420898646,rcpt_a8359476b9,upi,,,,
pay_EFE943DFA1E847,payment,0,1171938,1200264,INR,24005,4321,0,1,1784314800,1784498400,setl_B81D85C6772242,pay_EFE943DFA1E847,UTR060367531848,order_813E0AB37DF845,rcpt_b5afe852c2,card,Amex,KKBK,debit,
pay_5097F681B2574F,payment,0,33801,34618,INR,692,125,0,1,1784930400,1785146400,setl_AC6D1D3D72C941,pay_5097F681B2574F,UTR706318447283,order_6657A11F753D4A,rcpt_65477e615d,card,MasterCard,HDFC,debit,
pay_465C115DCFBB44,payment,0,125770,128810,INR,2576,464,0,1,1784134800,1784325600,setl_A619DF38EC1D41,pay_465C115DCFBB44,UTR253645471972,order_E40B6CE2161947,rcpt_5632487a03,wallet,,,,
pay_1BFB9C1175CE40,payment,0,262083,268417,INR,5368,966,0,1,1786143600,1786330800,setl_9F47DC8691234F,pay_1BFB9C1175CE40,UTR868572028561,order_9181A06C4CEF4D,rcpt_a68822751b,card,RuPay,KKBK,credit,
pay_7BDF8F170EA844,payment,0,257605,263615,INR,5093,917,0,1,1783270800,1783454400,setl_3D4FDF03CB1A4F,pay_7BDF8F170EA844,UTR816962795594,order_A5553A91477849,rcpt_d76652522f,upi,,,,
pay_5C1EF274E24F4C,payment,0,1641365,1681038,INR,33621,6052,0,1,1785870000,1786053600,setl_0C7CB81DB77048,pay_5C1EF274E24F4C,UTR630612749895,order_1F433E3747AB41,rcpt_1687fdb4c6,card,Visa,KKBK,debit,
pay_FA0B9AA0F1F74F,payment,0,71923,73661,INR,1473,265,0,1,1785085200,1785272400,setl_8C753A946BAE44,pay_FA0B9AA0F1F74F,UTR083526629380,order_007FF8AD183D48,rcpt_231c1b5f90,card,Visa,ICIC,credit,
pay_CD942C5F76A24F,payment,0,286791,293722,INR,5874,1057,0,1,1783501200,1783674000,setl_2DA2F1D191C942,pay_CD942C5F76A24F,UTR799565880990,order_2A25B749EB2F44,rcpt_c46c761b01,card,RuPay,UTIB,credit,
pay_F66E72DD97384C,payment,0,1706187,1747427,INR,34949,6291,0,1,1785783600,1785996000,setl_0C7CB81DB77048,pay_F66E72DD97384C,UTR361508182405,order_29640B6BAC4B4A,rcpt_ebf15d4615,upi,,,,
pay_45806E13B51B4E,payment,0,57833,59231,INR,1185,213,0,1,1784955600,1785168000,setl_AC6D1D3D72C941,pay_45806E13B51B4E,UTR514866108239,order_FED212AFD19A43,rcpt_41bf98e946,netbanking,,,,
pay_61F6AA97A9F047,payment,0,993734,1017753,INR,20355,3664,0,1,1785312000,1785495600,setl_A00D7C780E0A4A,pay_61F6AA97A9F047,UTR556350612893,order_728FC62300D34C,rcpt_fffaf1511b,card,RuPay,KKBK,debit,
pay_EA06652D2FC540,payment,0,1821597,1865625,INR,37312,6716,0,1,1784548800,1784754000,setl_FDE6D7CC4E584E,pay_EA06652D2FC540,UTR038598457284,order_433143FB28CD46,rcpt_2f5d308367,card,Amex,SBIN,debit,
pay_13E16735568D40,payment,0,20310858,20801780,INR,416036,74886,0,1,1784365200,1784577600,setl_DB0B3868827041,pay_13E16735568D40,UTR191505798422,order_CD4DC90BC45B4E,rcpt_0cb2b26ef2,wallet,,,,
pay_736E01DA655D46,payment,0,63765,65306,INR,1306,235,0,1,1784242800,1784437200,setl_B81D85C6772242,pay_736E01DA655D46,UTR563434322585,order_AD27067B2D3E49,rcpt_615a20520b,card,Visa,ICIC,debit,
pay_AC4EF15035A84B,payment,0,1243604,1273662,INR,25473,4585,0,1,1785675600,1785877200,setl_36E06F9A9F274F,pay_AC4EF15035A84B,UTR286459114553,order_3C40204EEBC349,rcpt_a29033f4cf,card,MasterCard,KKBK,credit,
pay_95A933619AF242,payment,0,1217858,1247294,INR,24946,4490,0,1,1784660400,1784844000,setl_A18FA079F3FF44,pay_95A933619AF242,UTR114319433933,order_BF1B3B4039284C,rcpt_2fd455b4d7,card,MasterCard,SBIN,debit,
pay_F4A1A08E908043,payment,0,2002054,2050445,INR,41009,7382,0,1,1785186000,1785384000,setl_2D381C9EAF5E4F,pay_F4A1A08E908043,UTR155565947426,order_5C1C04EAA1654C,rcpt_c5513b4637,wallet,,,,
pay_F862F43E20144C,payment,0,1315950,1347757,INR,26955,4852,0,1,1785290400,1785481200,setl_A00D7C780E0A4A,pay_F862F43E20144C,UTR752358307800,order_28C09FFE27434A,rcpt_6601d1000e,card,Visa,ICIC,debit,
pay_69917B67BDF84B,payment,0,22486570,23030080,INR,460602,82908,0,1,1783368000,1783576800,setl_3CAEC74023DE42,pay_69917B67BDF84B,UTR366170563179,order_59DB56AAC30A40,rcpt_741dfe4c45,upi,,,,
pay_2CBB5D1190AC4D,payment,0,621236,636251,INR,12725,2290,0,1,1783803600,1783998000,setl_9D1B78E71C2347,pay_2CBB5D1190AC4D,UTR117574539147,order_A11851CE56B24C,rcpt_7d10fdda9d,upi,,,,
pay_346ECC95CCF947,payment,0,229709,235261,INR,4705,847,0,1,1784980800,1785171600,setl_AC6D1D3D72C941,pay_346ECC95CCF947,UTR624969249731,order_6C6A8DDEACBD44,rcpt_d40af2c26e,wallet,,,,
pay_99D5E9E9EB144A,payment,0,638149,653732,INR,13206,2377,0,1,1784516400,1784721600,setl_FDE6D7CC4E584E,pay_99D5E9E9EB144A,UTR862419423697,order_0D0734E31EA94F,rcpt_adbb5a5290,wallet,,,,
pay_22CB3A36718442,payment,0,8785220,8997562,INR,179951,32391,0,1,1783825200,1784005200,setl_9D1B78E71C2347,pay_22CB3A36718442,UTR501388117037,order_A6D32A31EEB84D,rcpt_be33260847,wallet,,,,
pay_0FCEAB807BF24B,payment,0,188302,192853,INR,3857,694,0,1,1785013200,1785229200,setl_8C753A946BAE44,pay_0FCEAB807BF24B,UTR084749779520,order_2256EA3FFBF54A,rcpt_51ed3193db,upi,,,,
pay_3B527DAD684E46,payment,0,11005531,11271540,INR,225431,40578,0,1,1784098800,1784311200,setl_A619DF38EC1D41,pay_3B527DAD684E46,UTR230940759160,order_28989478A33445,rcpt_bfdedd3a7b,wallet,,,,
pay_65E52019EF9E4B,payment,0,45223,46316,INR,926,167,0,1,1786021200,1786971600,setl_56C2A34370F042,pay_65E52019EF9E4B,UTR235006905517,order_9C0869EC3C0849,rcpt_4be4974c65,upi,,,,
pay_D0A09EC9EF2447,payment,0,63473,65007,INR,1300,234,0,1,1783551600,1783767600,setl_9FE4A1BEEA1642,pay_D0A09EC9EF2447,UTR360085622939,order_2AF3758ACFAF4A,rcpt_c564b1f763,upi,,,,
pay_23D75A94FB704A,payment,0,73161,74930,INR,1499,270,0,1,1783915200,1784098800,setl_6F8E491B93E84D,pay_23D75A94FB704A,UTR899675221771,order_B5BD300A1D4844,rcpt_57fbec10df,upi,,,,
pay_B2A72F3CC60347,payment,0,223018,228408,INR,4568,822,0,1,1785171600,1785384000,setl_2D381C9EAF5E4F,pay_B2A72F3CC60347,UTR454249568730,order_BC29BCF59FF24E,rcpt_49da826d9f,card,Visa,KKBK,debit,
pay_50FD60769E2F48,payment,0,186138,190637,INR,3813,686,0,1,1783285200,1783501200,setl_1FFCE53D3FEC40,pay_50FD60769E2F48,UTR142907840163,order_1C80F2B91D1F44,rcpt_1061ccc7fd,upi,,,,
pay_FCEF5AFAA17244,payment,0,456968,468013,INR,9360,1685,0,1,1782878400,1783094400,setl_E6256123278B48,pay_FCEF5AFAA17244,UTR561638319698,order_5210831E63C241,rcpt_89337f3d66,upi,,,,
pay_4801DA56235047,payment,0,141113,144523,INR,2890,520,0,1,1786395600,1786579200,setl_3CBA8A8E45A842,pay_4801DA56235047,UTR608345199689,order_7D13738ECE6348,rcpt_be1913c6e6,card,MasterCard,KKBK,debit,
pay_92E36D2459BB40,payment,0,57684,59079,INR,1182,213,0,1,1784955600,1785135600,setl_AC6D1D3D72C941,pay_92E36D2459BB40,UTR030533230999,order_0A8128BF4A4045,rcpt_4c35c8b42d,netbanking,,,,
pay_2762629416A84B,payment,0,30719,31461,INR,629,113,0,1,1784394000,1784599200,setl_E37948BB5D4647,pay_2762629416A84B,UTR447580502884,order_16C49AEC777C4F,rcpt_d664f75e29,card,RuPay,ICIC,debit,
pay_4206CDEEF8E94A,payment,0,152142,155819,INR,3116,561,0,1,1784689200,1784905200,setl_3D49C898979B4F,pay_4206CDEEF8E94A,UTR755382944015,order_3FACCEF619524E,rcpt_d62cc1681c,card,Visa,ICIC,debit,
pay_34AF1CA9814746,payment,0,311251,318775,INR,6376,1148,0,1,1784538000,1784728800,setl_FDE6D7CC4E584E,pay_34AF1CA9814746,UTR213386279977,order_AD2A834312604F,rcpt_a2a370ebe6,upi,,,,
pay_31E01715912E4C,payment,0,73587,75365,INR,1507,271,0,1,1785265200,1785438000,setl_2D381C9EAF5E4F,pay_31E01715912E4C,UTR911888696448,order_DAC39D41D1224B,rcpt_aa0f0ab69a,netbanking,,,,
pay_81C8A27943F846,payment,0,91111,93313,INR,1866,336,0,1,1786759200,1786950000,setl_56C2A34370F042,pay_81C8A27943F846,UTR339721639898,order_242F92205F524F,rcpt_cfe68e6828,card,RuPay,KKBK,credit,
pay_F4C0773545224E,payment,0,44392,45465,INR,909,164,0,1,1783260000,1783440000,setl_3D4FDF03CB1A4F,pay_F4C0773545224E,UTR217435224929,order_42E1F3FE894748,rcpt_3992793260,netbanking,,,,
pay_02823F72957144,payment,0,41445,42447,INR,849,153,0,1,1783058400,1783234800,setl_C4F2FDC197F847,pay_02823F72957144,UTR587730442492,order_AA2A888B244B42,rcpt_acbf89f2d7,upi,,,,
pay_13E5FA70118B4C,payment,0,1163667,1191793,INR,23836,4290,0,1,1784923200,1785121200,setl_AC6D1D3D72C941,pay_13E5FA70118B4C,UTR126043787047,order_84FCA04B9E2A4F,rcpt_9133032a3f,upi,,,,
pay_843131B47E8442,payment,0,144514,148007,INR,2960,533,0,1,1785538800,1785754800,setl_0E982FC3AFF140,pay_843131B47E8442,UTR743671580280,order_EE2D2708936445,rcpt_147646dd23,card,Amex,ICIC,credit,
pay_E2C2FC0160944D,payment,0,635967,651339,INR,13027,2345,0,1,1784656800,1784869200,setl_3D49C898979B4F,pay_E2C2FC0160944D,UTR135342202362,order_6C2276C8A1B543,rcpt_397ee7a2c0,wallet,,,,
pay_EB23B4A7405B4B,payment,0,95939,98258,INR,1965,354,0,1,1783494000,1783674000,setl_2DA2F1D191C942,pay_EB23B4A7405B4B,UTR491103614959,order_619C46A1A2FF43,rcpt_a72ab21e00,card,Amex,KKBK,credit,
pay_5AB4340794CA44,payment,0,772052,790713,INR,15814,2847,0,1,1785445200,1785621600,setl_6EDDB277A26C48,pay_5AB4340794CA44,UTR890907651135,order_6F14EF5575D144,rcpt_ad8f017231,upi,,,,
pay_046B4C4D5C2F4B,payment,0,40056,41024,INR,820,148,0,1,1784808000,1785002400,setl_2874A6F147F946,pay_046B4C4D5C2F4B,UTR791707998461,order_C052239B9E6E44,rcpt_5dffd948c1,upi,,,,
pay_73030A640FAF47,payment,0,12328,12625,INR,252,45,0,1,1785402000,1785610800,setl_6EDDB277A26C48,pay_73030A640FAF47,UTR557108629142,order_841FAAF0171942,rcpt_a6660ba745,card,Visa,HDFC,debit,
pay_5D020FA2CF0D4C,payment,0,132544,135748,INR,2715,489,0,1,1784844000,1785027600,setl_FB36CF457C6944,pay_5D020FA2CF0D4C,UTR162324181481,orde_r65310809A02943,rcpt_03f64d8398,card,MasterCard,KKBK,debit,
pay_E5604D6A186749,payment,0,150240,153871,INR,3077,554,0,1,1783321200,1783526400,setl_1FFCE53D3FEC40,pay_E5604D6A186749,UTR683882551657,order_87580B7DC3F04C,rcpt_6e5ce59df7,upi,,,,
pay_794B9882295548,payment,0,202076,206960,INR,4139,745,0,1,1785837600,1786010400,setl_0C7CB81DB77048,pay_794B9882295548,UTR193882632073,order_F287A236CB7E24,rcpt_2953a06d25,upi,,,,
pay_ADBC742C1E1346,payment,0,149741,153360,INR,3067,552,0,1,1785006000,1785214800,setl_8C753A946BAE44,pay_ADBC742C1E1346,UTR417416665485,order_CCDE336CD9054A,rcpt_af706f9bfb,netbanking,,,,
pay_BE69FE6D1EF84C,payment,0,219129,224426,INR,4489,808,0,1,1786748400,1786924800,setl_56C2A34370F042,pay_BE69FE6D1EF84C,UTR021889255865,order_2CB7195A24D145,rcpt_185bc17f96,netbanking,,,,
pay_F4B2C1EE564E49,payment,0,109217,111857,INR,2237,403,0,1,1786064400,1786262400,setl_70A687B220C348,pay_F4B2C1EE564E49,UTR228338593510,order_DBE0E3842B7345,rcpt_75301dd178,card,Visa,UTIB,debit,
pay_F98C5B2B5A7741,payment,0,92317,94548,INR,1891,340,0,1,1783288800,1783501200,setl_1FFCE53D3FEC40,pay_F98C5B2B5A7741,UTR287491539282,order_9460A06E4BE845,rcpt_58f0f31f0c,upi,,,,
pay_59B06AFAE9C546,payment,0,217450,222706,INR,4454,802,0,1,1785150000,1785366000,setl_7FDE1F1FB30949,pay_59B06AFAE9C546,UTR479067303745,order_4D2E9F322CBD4F,rcpt_1e12194c85,upi,,,,
pay_ED70A9E47FBD40,payment,0,15895879,16280089,INR,325602,58608,0,1,1786395600,1786579200,setl_3CBA8A8E45A842,pay_ED70A9E47FBD40,UTR688805218603,order_B567FCB4488D48,rcpt_e52a564c30,upi,,,,
