order_id,amount,created_at,customer_id,status
order_EFCC9765366842,3029.22,2026-07-29T00:00:00,cust_af9737b12b,captured
order_886A1B20172448,18895.6,2026-08-07T22:00:00,cust_becd490dfb,completed
order_D63483D3477143,2109.56,2026-07-06T07:00:00,cust_4003f96a4e,completed
order_897F80A8C9334D,21671.58,2026-07-21T04:00:00,cust_3a6bbadef1,completed
order_6BEAFBBC49B642,2384.05,2026-07-27T06:00:00,cust_cda793e723,captured
order_DF0C1332317B42,19112.82,2026-08-12T12:00:00,cust_7157311754,completed
order_725FBBA0F0FE4C,2840.07,2026-07-20T00:00:00,cust_f846c8cf77,completed
order_3894A7AB092044,2402.66,2026-07-12T07:00:00,cust_cf3ee01357,completed
order_B12CD3D5E4E947,1300.91,2026-07-28T00:00:00,cust_2aaf5b4eae,completed
order_B67ADF4C121F46,20901.7,2026-07-31T01:00:00,cust_7e1cc86d41,captured
order_8B6D39B97D0949,253.45,2026-07-31T19:00:00,cust_b678ecaacf,captured
order_60DB6E4816B04B,1563.83,2026-08-07T05:00:00,cust_d3a8d5b6a4,completed
order_5FB35E1E529E43,1757.68,2026-07-06T06:00:00,cust_5454656fa3,captured
order_AD329B2BD48745,2620.15,2026-07-03T21:00:00,cust_602c82596f,captured
order_D00E985B997645,2509.42,2026-07-22T12:00:00,cust_a1e6f76192,completed
order_3C30E68E8E9948,1324.53,2026-08-11T01:00:00,cust_56e17d3e23,completed
order_D3C6F12F41FD4E,20475.45,2026-07-31T22:00:00,cust_0fab1da936,completed
order_B2C1412325414B,4279.76,2026-07-20T22:00:00,cust_899657a062,captured
order_388406C0816D4E,1432.01,2026-07-02T10:00:00,cust_9e558cf2a9,completed
order_E8DC3B5A89694C,1007.05,2026-08-09T23:00:00,cust_6e6d95afcf,completed
order_6DB753E59BAB42,8817.44,2026-08-01T09:00:00,cust_ae2fc35e42,completed
order_8343039B5A5848,133.67,2026-08-15T18:00:00,cust_d39160577a,captured
order_691915C60D104B,2528.68,2026-08-09T16:00:00,cust_92a91d0df0,captured
order_BD7FC71BE5ED44,2079.5,2026-07-17T22:00:00,cust_6baa9af6b6,completed
order_A26A74587C6042,1216.99,2026-07-27T01:00:00,cust_04f7d6acb6,captured
order_E3C1C51F503242,2915.93,2026-07-30T08:00:00,cust_c1348faadf,captured
order_CFEE7D0EEC5B41,2811.33,2026-08-13T16:00:00,cust_b624a067fb,captured
order_EA78016673624E,1218.13,2026-07-10T11:00:00,cust_b8a58f10a2,completed
order_46BD7437040D43,1924.27,2026-08-09T13:00:00,cust_0c798cadf5,completed
order_13F91194FCDE4F,2842.39,2026-07-10T13:00:00,cust_1cdcd4ccc2,completed
order_2D38AABBC25943,2866.19,2026-07-17T12:00:00,cust_5e2152cd13,captured
order_ED390EFA5DC04D,336.5,2026-08-05T18:00:00,cust_6bfc50c2b2,completed
order_F78B8964D2ED46,10791.41,2026-07-08T10:00:00,cust_ccbca8d47d,captured
order_B16AA86D0C2A4B,232940.2,2026-07-22T11:00:00,cust_a34cf0e1c4,captured
