entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_8F6C0424F85147,payment,0,13865869,14201013,INR,284020,51124,0,1,1783468800,1783641600,setl_979C5421FB444A,pay_8F6C0424F85147,UTR010004833959,order_16DC987853D149,rcpt_733c8b10b0,card,Amex,KKBK,debit,
pay_1B5C3181017C48,payment,0,2312741,2368641,INR,47373,8527,0,1,1785970800,1786150800,setl_F9016C0C79F348,pay_1B5C3181017C48,UTR417128285285,order_86CE3F2C7B7A45,rcpt_adc371b17c,netbanking,,,,
pay_8D0EF50740F642,payment,0,83562,85582,INR,1712,308,0,1,1784163600,1784854800,setl_7458F1AB9E2447,pay_8D0EF50740F642,UTR885892695296,order_A125501350894C,rcpt_b8583992e8,card,Visa,KKBK,credit,
pay_3CA23D1F3FB744,payment,0,49713,50914,INR,1018,183,0,1,1783216800,1783425600,setl_10183DCCE3B949,pay_3CA23D1F3FB744,UTR453764086375,order_90DC6C4CF3E44F,rcpt_a67e224000,card,RuPay,UTIB,debit,
pay_40BBB5C6B0CF4E,payment,0,117808,120655,INR,2413,434,0,1,1782864000,1783080000,setl_034BDC35E35A46,pay_40BBB5C6B0CF4E,UTR680109859689,order_B717722D827B42,rcpt_194fac359f,card,Amex,HDFC,debit,
pay_6861457D37D44C,payment,0,32856,33650,INR,673,121,0,1,1785952800,1786150800,setl_F9016C0C79F348,pay_6861457D37D44C,UTR977713264534,order_ED390EFA5DC04D,rcpt_91a1caaf45,upi,,,,
pay_B15171D2D5B947,payment,0,549587,562870,INR,11257,2026,0,1,1785794400,1786010400,setl_31338DAF247B41,pay_B15171D2D5B947,UTR528009911002,order_B7BBB4BBA25646,rcpt_f63f1487b8,card,MasterCard,KKBK,credit,
pay_078DABD901F34F,payment,0,74255,76050,INR,1521,274,0,1,1784790000,1784995200,setl_84271C1974A345,pay_078DABD901F34F,UTR083902342521,order_3D88A06CAC0744,rcpt_d91566a09b,wallet,,,,
pay_D084DC3A1A4B4F,payment,0,22368729,22909391,INR,458188,82474,0,1,1786226400,1786438800,setl_1756E8E3D82840,pay_D084DC3A1A4B4F,UTR372758025671,order_CAED442F5A194C,rcpt_d86ebff8eb,upi,,,,
pay_79AF884549E346,payment,0,122879,126202,INR,2816,507,0,1,1785254400,1785430800,setl_B8325289100045,pay_79AF884549E346,UTR988824629918,order_A5F162D198FE49,rcpt_f751890af3,card,RuPay,ICIC,credit,
pay_B109C4194BD540,payment,0,4601713,4712939,INR,94259,16967,0,1,1785027600,1785207600,setl_BFFA6CD4ADB047,pay_B109C4194BD540,UTR175565931025,order_636A79DF7FCD47,rcpt_c15ffac81e,wallet,,,,
