entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_1B5DB678EF544A,payment,0,268613,275400,INR,5752,1035,0,1,1785049200,1785243600,setl_0A8F8C20576E43,pay_1B5DB678EF544A,UTR115066182794,order_1AEDC06B4D0446,rcpt_daadcbde10,card,Visa,KKBK,credit,
pay_D12C81EE4B5E4D,payment,0,10103498,10347704,INR,206954,37252,0,1,1784091600,1784275200,setl_26BEFC47481D4A,pay_D12C81EE4B5E4D,UTR313113534280,order_E3BEA87C28E245,rcpt_3bfd355e3f,netbanking,,,,
pay_A46B506CD9084C,payment,0,39838,40801,INR,816,147,0,1,1783504800,1783681200,setl_01DD4F9BC26841,pay_A46B506CD9084C,UTR343806598488,order_955894A98DBC4C,rcpt_17719afd70,netbanking,,,,
pay_9737ADDC023A4F,payment,0,272439,₹279023,INR,5580,1004,0,1,1783468800,1783641600,setl_01DD4F9BC26841,pay_9737ADDC023A4F,UTR307288254018,order_479A76196A2845,rcpt_726ad394c1,card,Amex,HDFC,credit,
pay_B75F1326855C4F,payment,0,128574,131682,INR,2634,474,0,1,1783033200,1783209600,setl_2ECB28C699C041,pay_B75F1326855C4F,UTR239455218747,order_0463A004C1EB46,rcpt_0b39b5041e,netbanking,,,,
pay_CCE4FEC4F95D48,payment,0,125233,128260,INR,2565,462,0,1,1784041200,1784257200,setl_26BEFC47481D4A,pay_CCE4FEC4F95D48,UTR896644174502,order_B15EA581897941,rcpt_c1ac77d0fd,upi,,,,
pay_B0CDD6E8DA4C45,payment,0,92459,94694,INR,1894,341,0,1,1786608000,1786820400,setl_F2E155DF04C742,pay_B0CDD6E8DA4C45,UTR652851723142,order_84A7DD67394F43,rcpt_35564e5ed4,card,MasterCard,SBIN,credit,
pay_A79B1B3818BF46,payment,0,2301990,2357631,INR,47153,8488,0,1,1785085200,1785272400,setl_0A8F8C20576E43,pay_A79B1B3818BF46,UTR085479240319,order_C9DB1C3B53C4C6,rcpt_5dd54f9af9,card,Visa,SBIN,debit,
pay_9D0347D597E34B,payment,0,56740,58111,INR,1162,209,0,1,1784818800,1784998800,setl_463EF21FF45840,pay_9D0347D597E34B,UTR921215444740,order5_D4F55CACB4948,rcpt_d93810180e,upi,,,,
pay_C8328BE4280E45,payment,0,39263,40212,INR,804,145,0,1,1784296800,1784498400,setl_5F1DDEA0EE6C46,pay_C8328BE4280E45,UTR292634868429,order_FF3D84CB2A6744,rcpt_1751aaf33e,wallet,,,,
